Supermercado,Semana,Fecha,Marca,Descripcion,Unidades,Promo,Precio,Precio2,Imagen,Link
Unimarc,40,07-10-2023,Quix,Lavaloza quix antibacterial 1.2 l,,$3.440,$4.230,19%,https://unimarc.vtexassets.com/arquivos/ids/192378/000000000000640072-UN-01.jpg?v=637191002164000000,https://www.unimarc.cl/product/lavalozas-antibacterial-quix-1-2-lt
Unimarc,40,07-10-2023,Dawn,Lavaloza dawn limón 500 ml,,$5.450,$6.450,16%,https://unimarc.vtexassets.com/arquivos/ids/228752/000000000000604184-UN-01.jpg?v=637974119232600000,https://www.unimarc.cl/product/lavalozas-limon-dawn-500-ml
Unimarc,40,07-10-2023,Virginia,Lavalozas virginia limón citrus 1.5 l,,$3.360,,,https://unimarc.vtexassets.com/arquivos/ids/218523/000000000000640143-UN-01.jpg?v=637636857853170000,https://www.unimarc.cl/product/lavalozas-limon-cit-virginia-1-5-lt
Unimarc,40,07-10-2023,Quix,Lavaloza concentrado quix bio activos limón 500 ml,,$1.990,,,https://unimarc.vtexassets.com/arquivos/ids/229070/000000000000661944-UN-01.jpg?v=637985972318070000,https://www.unimarc.cl/product/lavaloza-conc-bio-act-limon-quix-500-ml
Unimarc,40,07-10-2023,Quix,Lavaloza concentrado quix bio activo limón 750 ml,,$2.670,,,https://unimarc.vtexassets.com/arquivos/ids/229064/000000000000661854-UN-01.jpg?v=637985959954230000,https://www.unimarc.cl/product/lavaloza-conc-bio-activ-limon-quix-750ml
Unimarc,40,07-10-2023,Excell,Lavalozas + cloro excell aroma limón 1.5 l,,$2.590,,,https://unimarc.vtexassets.com/arquivos/ids/234771/000000000000652490-UN-01.jpg?v=638254584668030000,https://www.unimarc.cl/product/lavalozas-c-cloro-limon-excell-1-5-lt
Unimarc,40,07-10-2023,Wyn,Lavalozas concentrado wyn 750 ml,,$2.190,,,https://unimarc.vtexassets.com/arquivos/ids/227822/000000000000631671-UN-01.jpg?v=637922970587470000,https://www.unimarc.cl/product/lavalozas-concentrado-wyn-750-ml
Unimarc,40,07-10-2023,Magistral,Lavaloza magistral limón 215 ml,,$990,,,https://unimarc.vtexassets.com/arquivos/ids/235370/000000000000665567-UN-01.jpg?v=638289270977800000,https://www.unimarc.cl/product/lavaloza-limon-magistral-215-ml
Unimarc,40,07-10-2023,Sun,Lavavajillas sun 1 kg,,$7.190,,,https://unimarc.vtexassets.com/arquivos/ids/175133/000000000000613768-UN.jpg?v=636655223728730000,https://www.unimarc.cl/product/lavavajillas-sun-detergente-1-kg
Unimarc,40,07-10-2023,Virginia,Lavaloza virginia limón citrus doy pack 1 l.,,$2.340,,,https://unimarc.vtexassets.com/arquivos/ids/218498/000000000000576939-UN-01.jpg?v=637636350543770000,https://www.unimarc.cl/product/lavalozas-limon-cit-dp-virginia-1-lt
Unimarc,40,07-10-2023,Smart Clean,Lavalozas smart clean limón doypack 1 l,,$2.490,,,https://unimarc.vtexassets.com/arquivos/ids/231813/000000000000662799-UN-01.jpg?v=638086099035730000,https://www.unimarc.cl/product/lavalozas-limon-dp-smart-clean-1-lt
Unimarc,40,07-10-2023,Dawn,Lavaloza dawn lemon botella 750 ml,,$7.790,,,https://unimarc.vtexassets.com/arquivos/ids/230744/000000000000128852-UN-01.jpg?v=638047191312670000,https://www.unimarc.cl/product/laval-dawn-lemon-botella-750-ml
Unimarc,40,07-10-2023,Sun,Sal lavavajillas sun regeneradora 1 kg,,$2.600,,,https://unimarc.vtexassets.com/arquivos/ids/230389/000000000000018030-UN-01.jpg?v=638040326023630000,https://www.unimarc.cl/product/sal-regeneradora-sun-progess-1kg
Unimarc,40,07-10-2023,Excell,Lavalozas excell aroma limón doypack 1 l,,$1.730,,,https://unimarc.vtexassets.com/arquivos/ids/234772/000000000000652489-UN-01.jpg?v=638254585028470000,https://www.unimarc.cl/product/lavalozas-c-cloro-limon-dp-excell-1-lt
Unimarc,40,07-10-2023,Quix,Lavaloza concentrado quix bio activos pureza 500 ml,,$2.600,,,https://unimarc.vtexassets.com/arquivos/ids/229076/000000000661946002-UN-01.jpg?v=637985980261170000,https://www.unimarc.cl/product/lav-conc-bio-act-quix-5-pureza-esencial
Unimarc,40,07-10-2023,Sun,Abrillantador sun progess lavavajillas 500 ml,,$5.490,,,https://unimarc.vtexassets.com/arquivos/ids/174699/000000000000018029-UN.jpg?v=636651084190200000,https://www.unimarc.cl/product/abrillantador-lavavajillas-sun-progess-500-ml
Unimarc,40,07-10-2023,Fuzol,Lavaloza fuzol concentrado power citrus recarga 1 l,,$1.920,,,https://unimarc.vtexassets.com/arquivos/ids/232079/54626.png?v=638112943392800000,https://www.unimarc.cl/product/laval-fuzol-concentrado-limon-recarga-1-l
Unimarc,40,07-10-2023,Cif,Lavaloza cif bio active limón verde 300 ml,,$2.150,,,https://unimarc.vtexassets.com/arquivos/ids/235366/665877_-UN_LAVALOZA-DETERG-LIMON-VERDE-CIF-300-ML-_7791290791107.jpg?v=638289246319570000,https://www.unimarc.cl/product/lavaloza-deterg-limon-verde-cif-300-ml
Unimarc,40,07-10-2023,Waitrose,Lavalozas waitrose original 600 ml,,$2.990,,,https://unimarc.vtexassets.com/arquivos/ids/214090/000000000649715001-UN-01.jpg?v=637562492136030000,https://www.unimarc.cl/product/lavaloza-waitrose-600-ml-original
Unimarc,40,07-10-2023,Smart Clean,Lavalozas smart clean aroma limón recarga 1.5 l,,$3.090,,,https://unimarc.vtexassets.com/arquivos/ids/235203/000000000000665715-UN-01.jpg?v=638272757783970000,https://www.unimarc.cl/product/rec-lavalozas-limon-smart-clean-1-5-lt
Unimarc,40,07-10-2023,Excell,Lavalozas + cloro ecell aroma limón doypack 500 ml,,$1.190,,,https://unimarc.vtexassets.com/arquivos/ids/234764/000000000000665184-UN-01.jpg?v=638253850165230000,https://www.unimarc.cl/product/lavalozas-cloro-limon-dp-excell-500-ml
Unimarc,40,07-10-2023,Smart Clean,Lavalozas smart clean aroma limón 500 ml,,$1.890,,,https://unimarc.vtexassets.com/arquivos/ids/235384/000000000000665790-UN-01.png?v=638294503937570000,https://www.unimarc.cl/product/lavaloza-limon-smart-clean-500-ml
Unimarc,40,07-10-2023,Smart Clean,Lavalozas smart clean aroma limón 750 ml,,$2.290,,,https://unimarc.vtexassets.com/arquivos/ids/235204/000000000000665714-UN-01.jpg?v=638272764713730000,https://www.unimarc.cl/product/lavalozas-limon-smart-clean-750-ml-2
Unimarc,40,07-10-2023,Magistral,Pack lavaloza magistral 2 un de 500 ml,,,,,https://unimarc.vtexassets.com/arquivos/ids/231385/000000000000662954-UN-01.jpg?v=638065427936770000,https://www.unimarc.cl/product/pack-lavaloza-magistral-2x500-ml
Unimarc,40,07-10-2023,Ecocarga,Lavalozas ecocarga 3 l + envase,,,,,https://unimarc.vtexassets.com/arquivos/ids/231573/000000000000655220-UN-01.jpg?v=1778171832,https://www.unimarc.cl/product/lavalozas-ecocarga-3lt-envase
Unimarc,40,07-10-2023,Ecocarga,Lavalozas ecocarga recarga 3 l,,,,,https://unimarc.vtexassets.com/arquivos/ids/231572/000000000000655217-UN-01.jpg?v=1778171831,https://www.unimarc.cl/product/lavalozas-recarga-ecocarga-3-lt
